,City,RegionName,State,PTR_6_months,10Year,5Year,YOY,three_bed_buy_2016,three_bed_buy_2017,three_bed_rent_2016,three_bed_rent_2017,rent_change,buy_change
577,Fort Lauderdale,33312,FL,11.063333333333333,-0.0113528266367697,0.13727306898526198,0.11268248175182499,221600.0,247200.0,1911.0,1900.0,-0.0057561486132914706,0.11552346570397112
18,Charlotte,28269,NC,11.091666666666667,0.0115513167325021,0.0581214647541777,0.0856102003642987,151300.0,166000.0,1275.0,1395.0,0.09411764705882353,0.09715796430931924
483,Hollywood,33021,FL,11.12,-0.00879095037114597,0.111917535643866,0.0804794520547945,318100.0,340100.0,2200.0,2199.0,-0.00045454545454545455,0.06916064130776485
41,Clarksville,37042,TN,11.126666666666667,0.0165890974522196,0.009141393248581991,0.008814102564102559,123700.0,124900.0,950.0,1012.5,0.06578947368421052,0.009700889248181084
2746,Pace,32571,FL,11.131666666666666,-0.00437068290888309,0.0311256933671129,0.0282381829343155,144700.0,150500.0,1222.5,1150.0,-0.05930470347648262,0.04008293020041465
147,Fort Myers,33908,FL,11.153333333333334,-0.0146313574452869,0.0693743548091801,0.0129032258064516,287000.0,290100.0,1962.5,1829.0,-0.06802547770700637,0.010801393728222997
1193,Royal Oak,48073,MI,11.18,0.0224357446605092,0.109893687142079,0.107088220295767,200200.0,219400.0,1462.5,1572.5,0.07521367521367521,0.0959040959040959
2530,Cape Coral,33990,FL,11.195,-0.0067593120192071,0.112341298749768,0.0743455497382199,191400.0,205600.0,1337.0,1445.0,0.08077786088257292,0.0741901776384535
129,Springfield,65807,MO,11.201666666666666,-0.00502748282803411,0.0143207577979341,-0.0234986945169713,115900.0,113700.0,795.0,845.0,0.06289308176100629,-0.01898188093183779
64,Royal Palm Beach,33411,FL,11.229999999999999,-0.00436332664898675,0.128964743826049,0.0640723270440252,257000.0,273400.0,1625.0,1700.0,0.046153846153846156,0.06381322957198443
2988,Sanford,27332,NC,11.233333333333334,0.00233250729493673,0.0132082909623117,0.00420462508759636,146000.0,147300.0,1200.0,1250.0,0.041666666666666664,0.008904109589041096
386,Brandon,33511,FL,11.236666666666665,-0.007517697599563441,0.0967684284690289,0.0760749724366042,169600.0,184600.0,1322.0,1425.0,0.07791225416036308,0.08844339622641509
2665,Orange Park,32065,FL,11.238333333333335,-0.0129971878593276,0.0664586664461442,0.0732142857142857,139100.0,150800.0,1250.0,1300.0,0.04,0.08411214953271028
628,Philadelphia,19145,PA,11.261666666666665,0.0378051153066028,0.0889686985848444,0.14453125,140800.0,164300.0,1275.0,1295.0,0.01568627450980392,0.1669034090909091
1711,Fishers,46037,IN,11.275,0.009832528300533829,0.0235125639619158,0.0345238095238095,241400.0,246900.0,1409.5,1450.0,0.028733593472862716,0.022783761391880698
1217,San Antonio,78253,TX,11.29,0.0123058950479187,0.0389257922950847,0.0389305816135084,187100.0,195600.0,1475.0,1500.0,0.01694915254237288,0.045430251202565476
1515,Mableton,30126,GA,11.299999999999999,0.00446208794255631,0.0850281962064399,0.0695890410958904,132500.0,149000.0,1135.0,1220.0,0.07488986784140969,0.12452830188679245
1673,Kendall West,33193,FL,11.308333333333335,-0.0102284971966281,0.11665068513671001,0.0930232558139535,261500.0,285800.0,1950.0,1925.0,-0.01282051282051282,0.09292543021032505
4264,Cape Coral,33993,FL,11.351666666666667,-0.0158807936839193,0.123575929981201,0.0494997367035282,177400.0,189800.0,1350.0,1400.0,0.037037037037037035,0.06989853438556934
553,Kennesaw,30144,GA,11.356666666666667,0.0102431241254197,0.0732693587830218,0.10106681639528399,166400.0,180700.0,1390.0,1446.5,0.04064748201438849,0.0859375
2819,Valrico,33594,FL,11.36166666666667,-0.00840667545467455,0.0957235393733562,0.0718884120171674,163200.0,178100.0,1325.0,1405.0,0.06037735849056604,0.09129901960784313
229,Hampton,23666,VA,11.366666666666667,-0.0119903348867829,0.0082418888657616,0.0257023311416617,161600.0,165200.0,1300.0,1350.0,0.038461538461538464,0.022277227722772276
688,Kendall,33176,FL,11.366666666666667,-0.0124148838156164,0.0926021551708378,0.0577743311360993,341200.0,366600.0,2000.0,2100.0,0.05,0.07444314185228605
2830,Edmond,73012,OK,11.37,0.0124662194468144,0.0215124069797477,-0.00945273631840796,179100.0,175300.0,1395.0,1400.0,0.0035842293906810036,-0.02121719709659408
588,Edmond,73013,OK,11.388333333333334,0.014575756194495,0.0238883141281505,-0.00856854838709677,176200.0,172100.0,1350.0,1325.0,-0.018518518518518517,-0.023269012485811577
4065,Crestview,32539,FL,11.398333333333333,-0.0119642208989991,0.0409820444944573,0.0710622710622711,121000.0,132900.0,1037.5,1025.0,-0.012048192771084338,0.09834710743801653
806,Bloomington,47401,IN,11.406666666666668,0.0244361693413448,0.0435448652859824,0.0814737934613389,208100.0,225400.0,1400.0,1350.0,-0.03571428571428571,0.08313310908217203
1306,South Miami Heights,33177,FL,11.418333333333335,-0.016060116025058,0.140755292487716,0.0986509274873524,221100.0,250900.0,1850.0,1850.0,0.0,0.1347806422433288
1737,Grovetown,30813,GA,11.436666666666666,0.00648708089110972,0.0335832940503027,0.0303605313092979,145500.0,150200.0,1175.0,1197.5,0.019148936170212766,0.03230240549828179
482,Clarksville,37040,TN,11.520000000000001,0.0212852390813953,0.0177591313336756,0.0379928315412186,151800.0,156200.0,1195.0,1195.0,0.0,0.028985507246376812
5320,Sunrise,33323,FL,11.521666666666667,-0.00751125996098845,0.101653641465685,0.0633598841419261,272300.0,292500.0,2275.0,2300.0,0.01098901098901099,0.07418288652221815
1718,Oklahoma City,73170,OK,11.541666666666666,0.0158120753773345,0.0199138192310806,0.0077007700770077,171600.0,172900.0,1295.0,1250.0,-0.03474903474903475,0.007575757575757576
